"Manufacturer Name","Model Name","HardWare Number","FirmWare Number","Application Number","Approval Number","Version","Approval Class","Product Type","Expiry Date","PIN Support","PIN Key Management","SRED Key Management","Prompt Control","PIN Entry Technology","Functions Provided","Approved usage","Remote-managed HSM","Supports ISO Format 4 (AES) PIN Blocks","Interface Isolation","Not Marketed"
"4P Mobile Data Processing",4Pad," 0021600x1x (without MSR) 0021600x0x (with MSR)",1.xxx,,4-60232,5.x,PED,OEM,"30 Apr 2026","Online & Offline","TDES:DUKPT; AES:Fixed",,Vendor-controlled,"Touch Screen","Display,ICCR,MSR,CTLS,SRED",,,,,0
"Access Computech Pvt Ltd","APos A20"," APos A20_21_xx_xx (Without Wi-Fi; Bluetooth)  APos A20_22_xx_xx (Without Wi-Fi; Bluetooth; CTLS)  APos A20_23_xx_xx (Without Wi-Fi; Bluetooth; CTLS; Front Camera)  APos A20_24_xx_xx (Without Wi-Fi; Bluetooth; CTLS; Front Camera; Rear Camera)  F20_01_xx_xx (Without Wi-Fi; BT)  F20_02_xx_xx (Without Wi-Fi; BT; CTLS)  F20_03_xx_xx (Without Wi-Fi; BT; CTLS; Front Camera)  F20_04_xx_xx (Without Wi-Fi; BT; CTLS; Front Camera; 2M Rear Camera)  F20_10_xx_xx (Full function)  F20_11_xx_xx (Without Wi-Fi; Bluetooth)  F20_12_xx_xx (Without Wi-Fi; Bluetooth; CTLS)  F20_13_xx_xx (Without Wi-Fi; Bluetooth; CTLS; Front Camera)  F20_14_xx_xx (Without Wi-Fi; Bluetooth; CTLS; Front Camera; 2M Rear Camera) APos A20_20_xx_xx (Full function) F20_00_xx_xx (Full function)"," Android OS: A20_OS_1.2.0.3_xxx_xxxxxxxxxxxx, Android OS: F20_OS_1.1.3.0_xxx_xxxxxxxx, Android OS: F20_OS_1.1.6.0_xxx_xxxxxxxxxx, Secure Boot: F20_BL_1.00.02.00_xxxxxxxx, Secure Firmware: A20_SF_1.00.07.00_xx_xxxxxxxx, Secure Firmware: F20_SF_1.0.5.0_xx_xxxxxxxx, Secure Firmware: F20_SF_1.00.07.00_xx_xxxxxxxx,Secure Boot: A20_BL_1.00.02.00_xxxxxxxx,Secure Boot: F20_BL_1.0.2.0_xxxxxxxx",,4-90165,5.x,PED,,"30 Apr 2026","Online & Offline","TDES:MK/SK,DUKPT; AES:Fixed",,Vendor-controlled,"Touch Screen","Display,ICCR,MSR,CTLS,OP,SRED",,,,,0
"Advanced Card Systems Limited",ACM350-PCD,xx.xx-01.00-xx.xx,xx.xx-01.01-xx.xx,,4-40303,5.x,SCR,OEM,"30 Apr 2026",N/A,"TDES:N/A; AES:N/A",,N/A,N/A,"CTLS,SRED",,,,,0
"Advanced Mobile Payment Inc.","AMP 1200","AMP 1200",2.2-xxxxxx-Secure,,4-30309,5.x,PED,,"30 Apr 2026",Online,"TDES:Fixed,MK/SK,DUKPT; AES:Fixed,MK/SK",,Acquirer-controlled,"Physical Keypad","Display,CTLS,SRED",,,,,0
"Advanced Mobile Payment Inc.","AMP 3000"," HW1Axx (With CTLS) HW0Axx (No CTLS)",2.1-xxxxxx-Secure,5.x,4-90068,5.x,PED,,"30 Apr 2026","Online & Offline","TDES:Fixed,MK/SK,DUKPT; AES:Fixed,MK/SK",,Acquirer-controlled,"Physical Keypad","Display,ICCR,MSR,CTLS,OP,SRED",,,,,0
"Advanced Mobile Payment Inc.","AMP 6500"," AMP 6500-Ab (No CTLS; with camera)  AMP 6500-Bb (With CTLS; no camera)  AMP 6500-Cb (With CTLS and camera) AMP 6500-Ob (No CTLS; no camera)",2.1-xxxxxx-Secure,,4-90018,5.x,PED,OEM,"30 Apr 2026","Online & Offline","TDES:Fixed,MK/SK,DUKPT; AES:Fixed,MK/SK",,Acquirer-controlled,"Touch Screen","Display,ICCR,MSR,CTLS,OP,SRED",,,,,0
"Advanced Mobile Payment Inc.","AMP 7000"," HW1Axx (With CTLS) HW0Axx (No CTLS)",2.1-xxxxxx-Secure,,4-90044,5.x,PED,,"30 Apr 2026","Online & Offline","TDES:Fixed,MK/SK,DUKPT; AES:Fixed,MK/SK",,Acquirer-controlled,"Physical Keypad","Display,ICCR,MSR,CTLS,OP,SRED",,,,,0
"Advanced Mobile Payment Inc.","AMP 8000"," AMP 8000-2xx (with CTLS)  AMP 8000-2xx-x (with CTLS) AMP 8000-1xx (without CTLS) AMP 8000-1xx-x (no CTLS)"," 2.3-xxxxxx-Secure,2.1-xxxxxx-Secure,2.2-xxxxxx-Secure",,4-30308,5.x,PED,,"30 Apr 2026","Online & Offline","TDES:Fixed,MK/SK,DUKPT; AES:Fixed,MK/SK",,Acquirer-controlled,"Touch Screen","Display,ICCR,MSR,CTLS,OP,SRED",,,Yes,,0
"Advanced Mobile Payment Inc.","AMP 8200"," AMP 8200-2xx (with CTLS)  AMP 8200-2xx-x (with CTLS) AMP 8200-1xx (without CTLS) AMP 8200-1xx-x (no CTLS)","2.1-xxxxxx-Secure,2.3-xxxxxx-Secure",,4-30300,5.x,PED,,"30 Apr 2026","Online & Offline","TDES:Fixed,MK/SK,DUKPT; AES:Fixed,MK/SK",,Acquirer-controlled,"Touch Screen","Display,ICCR,MSR,CTLS,OP,SRED",,,Yes,,0
"Advanced Mobile Payment Inc.","AMP 8200 Pro-X"," AMP 8200-1AA-x (No CTLS)  AMP 8200-1AO-x (No CTLS)  AMP 8200-2AA-x (With CTLS)  AMP 8200-2AO-x (With CTLS)  AMP 8200-2OA-x (With CTLS)  HW1Axx (With CTLS) AMP 8200-1OA-x (No CTLS) HW0Axx (No CTLS)","3.0-xxxxxx-Secure3.0-xxxxxx-Secure: 31 Dec 2024,3.0-xxxxxx-Secure: 31 Dec 2024",,4-90227,6.x,PED,,"30 Apr 2031","Online & Offline","TDES:MK/SK,DUKPT; AES:MK/SK,DUKPT","TDES:MK/SK; AES:N/A; FPE:No",Acquirer-controlled,"Touch Screen","Display,ICCR,MSR,CTLS,OP,SRED",,,Yes,,0
"Advanced Mobile Payment Inc.","AMP 9000"," HW1Axx (With CTLS) HW0Axx (No CTLS)",2.1-xxxxxx-Secure,,4-90043,5.x,PED,,"30 Apr 2026","Online & Offline","TDES:Fixed,MK/SK,DUKPT; AES:Fixed,MK/SK",,Acquirer-controlled,"Physical Keypad","Display,ICCR,MSR,CTLS,OP,SRED",,,,,0
"Advanced Mobile Payment Inc.","AMP 9200"," AMP 9200-AC-x  AMP 9200-AO-x  AMP 9200-BC-x  AMP 9200-CC-x  AMP 9200-DC-x  AMP 9200-EC-x  AMP 9200-OC-x AMP 9200-OO-x","2.1-xxxxxx-Secure2.1-xxxxxx-Secure: 31 Dec 2026",,4-90201,6.x,PED,,"30 Apr 2031","Online & Offline","TDES:MK/SK,DUKPT; AES:MK/SK,DUKPT","TDES:MK/SK; AES:N/A; FPE:No",Acquirer-controlled,"Physical Keypad","Display,ICCR,MSR,CTLS,OP,SRED",,,Yes,,0
"Advanced Mobile Payment Inc.",P8100,HWxAxx,"3.0-xxxxxx-Secure3.0-xxxxxx-Secure: 31 Dec 2026",,4-90386,6.x,PED,,"30 Apr 2031","Online & Offline","TDES:MK/SK,DUKPT; AES:MK/SK,DUKPT","TDES:MK/SK; AES:N/A; FPE:No",Acquirer-controlled,"Physical Keypad","Display,ICCR,MSR,CTLS,OP,SRED",,,Yes,,0
"Advanced Mobile Payment Inc.",P8400,"   HW0A01xx (Without CTLS; with Ethernet docking station)  HW1A00xx (With CTLS; without Ethernet docking station)  HW1A01xx (With CTLS; with Ethernet docking station) HW0A00xx (Without CTLS; without Ethernet docking station)","3.0-xxxxxx-Secure3.0-xxxxxx-Secure: 31 Dec 2025",,4-90341,6.x,PED,,"30 Apr 2031","Online & Offline","TDES:MK/SK,DUKPT; AES:MK/SK,DUKPT","TDES:MK/SK; AES:N/A; FPE:No",Acquirer-controlled,"Touch Screen","Display,ICCR,MSR,CTLS,OP,SRED",,,Yes,,0
"Advanced Mobile Payment Inc.",P8500," HW1A10xx HW1A00xx","3.0-xxxxxx-Secure3.0-xxxxxx-Secure: 31 Dec 2026",,4-90391,6.x,PED,,"30 Apr 2031","Online & Offline","TDES:MK/SK,DUKPT; AES:MK/SK,DUKPT","TDES:MK/SK; AES:N/A; FPE:No",Acquirer-controlled,"Touch Screen","Display,ICCR,MSR,CTLS,OP,SRED",,,Yes,,0
"Adyen N.V.",NYC1," 61A2xxxNxxxx - Non CTLS version 61A2xxxCxxxx - CTLS version","3.1.xx.xx3.1.xx.xx: 31 Dec 2026",3.1.xx.xx,4-30553,6.x,SCRP,,"30 Apr 2031","Online & Offline","TDES:DUKPT; AES:DUKPT","TDES:DUKPT; AES:DUKPT; FPE:No",N/A,N/A,"ICCR,MSR,CTLS,OP,SRED",,,Yes,,0
"Adyen N.V.",NYC1-SCR,"   51A1xxxNxxxx - Non CTLS version  51A2xxxNxxxx - None CTLS version 51A1xxxCxxxx - CTLS version 51A2xxxCxxxx - CTLS version","3.0.xx.xx3.0.xx.xx: 31 Dec 2024",3.0.xx.xx,4-30492,6.x,SCR,,"30 Apr 2031",N/A,"TDES:N/A; AES:N/A","TDES:DUKPT; AES:DUKPT; FPE:No",N/A,N/A,"ICCR,MSR,CTLS,OP,SRED",,,,,0
"Adyen N.V.",SFO1,71A1xxxxxxxx," AP: 1.0.xx.xx,SP: 3.0.xx.xxSP: 3.0.xx.xx: 31 Dec 2026,AP: 1.0.xx.xx: 31 Dec 2026",,4-30536,6.x,PED,,"30 Apr 2031","Online & Offline","TDES:MK/SK,DUKPT; AES:DUKPT","TDES:DUKPT; AES:DUKPT; FPE:No",Vendor-controlled,"Touch Screen","Display,ICCR,MSR,CTLS,OP,SRED",,,Yes,,0
"Aisino Corporation Zhuozhou Branch",P2000L,P.02.40.xx.x,0E010403.28.xxxx.xxx.xxxx,,4-90289,5.x,PED,,"30 Apr 2026","Online & Offline","TDES:MK/SK,DUKPT; AES:MK/SK",,Acquirer-controlled,"Touch Screen","Display,ICCR,MSR,CTLS,OP,SRED",,,Yes,,0
"Alited Technology Co., Ltd",ES600," V2.1 V2.0","V2.xV2.x: 31 Dec 2026",,4-90388,6.x,PED,,"30 Apr 2031","Online & Offline","TDES:MK/SK,DUKPT; AES:MK/SK,DUKPT","TDES:MK/SK,DUKPT; AES:MK/SK,DUKPT; FPE:No",Acquirer-controlled,"Physical Keypad","Display,ICCR,MSR,CTLS,OP,SRED",,,Yes,,0
"Alited Technology Co., Ltd",ES610,"   V1.00-1110x  V1.00-1300x  V1.00-1310x V1.00-1100x","V1.00-xxxx.xxxxV1.00-xxxx.xxxx: 31 Dec 2025",,4-90363,6.x,PED,,"30 Apr 2031","Online & Offline","TDES:MK/SK,DUKPT; AES:MK/SK,DUKPT","TDES:MK/SK,DUKPT; AES:MK/SK,DUKPT; FPE:No",Acquirer-controlled,"Physical Keypad","Display,ICCR,MSR,CTLS,OP,SRED",,,Yes,,0
"Alited Technology Co., Ltd",SP580," SP580-A0B10-x6xxx  SP580-AW010-x6xxx  SP580-AWB10-x6xxx  SP580-x0B10-x6xxx  SP580-xW010-x6xxx  SP580-xWB10-x6xxx SP580-A0010-x6xxx SP580-x0010-x6xxx","V1.x.xxV1.x.xx: 31 Dec 2025",,4-90262,6.x,PED,,"30 Apr 2031","Online & Offline","TDES:MK/SK,DUKPT; AES:MK/SK,DUKPT","TDES:MK/SK,DUKPT; AES:MK/SK,DUKPT; FPE:No",Acquirer-controlled,"Touch Screen","Display,ICCR,MSR,CTLS,OP,SRED",,,Yes,,0
"ALX TECHNOLOGIES",eCARB,V1.1.xx," ALX_LECTEUR_SW: V2.x, OS: V1.x, TPI: V1.x.x,ALX_TERMINAL_SW: V2.x",,4-80052,5.x,PED,,"30 Apr 2026",Offline,"TDES:N/A; AES:N/A",,Vendor-controlled,"Touch Screen","Display,ICCR,OP",,,,,0
"Amazon.com Services LLC",PFAY0H,02.xx,AO-1.0.xxxx.xxxx,,4-10265,5.x,"Non PED",,"30 Apr 2026",N/A,"TDES:N/A; AES:N/A",,N/A,N/A,"Display,ICCR,OP,SRED",,,,,0
"Arcelik A.S.","beko 300 TR",300TR-HW-V1.0,"03xx-03xx-03xx-03xx03xx-03xx-03xx-03xx: 31 Dec 2025",,4-40362,6.x,PED,,"30 Apr 2031","Online & Offline","TDES:MK/SK,DUKPT; AES:MK/SK,DUKPT","TDES:DUKPT; AES:DUKPT; FPE:No",Acquirer-controlled,"Physical Keypad","Display,ICCR,MSR,CTLS,OP,SRED",,,Yes,,0
"Arcelik A.S.","Beko Sardis",400TR-HW-V1.0.xxxx," SP: 1.0.xxxxx,FW: 1.0_x.x.x",,4-30379,5.x,PED,,"30 Apr 2026","Online & Offline","TDES:Fixed,MK/SK,DUKPT; AES:Fixed,MK/SK,DUKPT",,Acquirer-controlled,"Touch Screen","Display,ICCR,MSR,CTLS,OP,SRED",,,,,0
"Aurionpro Transit Pte. Ltd.",ECR-One,4.3.2.xxxxxx,"eP01.02-xxxxxxxx-xeP01.02-xxxxxxxx-x: 31 Dec 2026",,4-30534,6.x,SCR,OEM,"30 Apr 2031",N/A,"TDES:N/A; AES:N/A","TDES:DUKPT; AES:N/A; FPE:No",N/A,N/A,"CTLS,SRED",,,,,0
"Baibu Technology Co., Ltd.",i80,V2.0.x,"V1.0.xV1.0.x: 31 Dec 2025",,4-40370,6.x,PED,,"30 Apr 2031","Online & Offline","TDES:MK/SK,DUKPT; AES:MK/SK","TDES:MK/SK,DUKPT; AES:MK/SK; FPE:No",Acquirer-controlled,"Physical Keypad","Display,ICCR,MSR,CTLS,OP,SRED",,,Yes,,0
"Bank-Verlag GmbH","BV Key Management HSM",4.00.5.x,4.30.x.x_V1.xx,,4-80066,3.x,HSM,,"30 Apr 2026",N/A,"TDES:N/A; AES:N/A",,N/A,N/A,,Unrestricted,No,No,,0
"BBPOS Limited",CHB60,CHB60xxx-xx-xxx,"CHB60.xxx-xxCHB60.xxx-xx: 31 Dec 2026",,4-30546,6.x,SCRP,,"30 Apr 2031","Online & Offline","TDES:MK/SK,DUKPT; AES:MK/SK,DUKPT","TDES:MK/SK,DUKPT; AES:MK/SK,DUKPT; FPE:No",N/A,N/A,"ICCR,CTLS,SRED",,,Yes,,0
"BBPOS Limited","Chipper 3X BT",CHB3xxxx-xx-xxx,"CHB3x.01-xxxxxCHB3x.01-xxxxx: 31 Dec 2025",,4-30449,6.x,SCR,,"30 Apr 2031",N/A,"TDES:N/A; AES:N/A","TDES:MK/SK,DUKPT; AES:MK/SK,DUKPT; FPE:No",N/A,N/A,"ICCR,MSR,CTLS,OP,SRED",,,,,0
"BBPOS Limited",KLD10,KLD1x.11-xxxxxx-xxx,KLD1x.11-xxxxx-xxxxx,,4-30556,4.x,KLD,,"30 Apr 2032",N/A,"TDES:N/A; AES:N/A",,N/A,N/A,,,No,No,,0
"BBPOS Limited",Pinpad,WPD3xxxx-xx-xxx,WPD3x.xxx-xx,,4-30435,5.x,PED,,"30 Apr 2026","Online & Offline","TDES:MK/SK,DUKPT; AES:Fixed,MK/SK,DUKPT",,Vendor-controlled,"Physical Keypad","Display,ICCR,MSR,CTLS,SRED",,,,,0
"BBPOS Limited",S1801,S1801,CHB61.xxx-xx,,4-30353,5.x,SCRP,,"30 Apr 2026","Online & Offline","TDES:MK/SK,DUKPT; AES:Fixed,MK/SK,DUKPT",,N/A,N/A,"ICCR,CTLS,OP,SRED",,,,,0
"BBPOS Limited",S1801B,S1801BA1-xxx,"CHB6x.01-xxxxxCHB6x.01-xxxxx: 31 Dec 2026",,4-30484,6.x,SCRP,,"30 Apr 2031","Online & Offline","TDES:MK/SK,DUKPT; AES:MK/SK,DUKPT","TDES:MK/SK,DUKPT; AES:MK/SK,DUKPT; FPE:No",N/A,N/A,"ICCR,CTLS,OP,SRED",,,,,0
"BBPOS Limited",S2001,S2001A1-xxx,"WTH1x.11-xxxxx-xxxxxWTH1x.11-xxxxx-xxxxx: 31 Dec 2026",,4-30467,6.x,PED,,"30 Apr 2031","Online & Offline","TDES:MK/SK,DUKPT; AES:MK/SK,DUKPT","TDES:MK/SK,DUKPT; AES:MK/SK,DUKPT; FPE:No",Acquirer-controlled,"Touch Screen","Display,ICCR,MSR,CTLS,OP,SRED",,,,,0
"BBPOS Limited",WiseCube,CHB6x.01-xxxxxx-xxx,"CHB6x.01-xxxxxCHB6x.01-xxxxx: 31 Dec 2026",,4-30490,6.x,SCRP,,"30 Apr 2031","Online & Offline","TDES:MK/SK,DUKPT; AES:MK/SK,DUKPT","TDES:MK/SK,DUKPT; AES:MK/SK,DUKPT; FPE:No",N/A,N/A,"ICCR,CTLS,OP,SRED",,,Yes,,0
"BBPOS Limited",WiseCube,CHB60xxx-xx-xxx,CHB60.xxx-xx,,4-30348,5.x,SCRP,,"30 Apr 2026","Online & Offline","TDES:MK/SK,DUKPT; AES:Fixed,MK/SK,DUKPT",,N/A,N/A,"ICCR,CTLS,OP,SRED",,,,,0
"BBPOS Limited","WisePad 3",WPC3x.01-xxxxxx-xxx,"WPC3x.01-xxxxxWPC3x.01-xxxxx: 31 Dec 2026",,4-30468,6.x,PED,,"30 Apr 2031","Online & Offline","TDES:MK/SK,DUKPT; AES:MK/SK,DUKPT","TDES:MK/SK,DUKPT; AES:MK/SK,DUKPT; FPE:No",Vendor-controlled,"Physical Keypad","Display,ICCR,CTLS,OP,SRED",,,,,0
"BBPOS Limited","WisePad 3S",WPS3x.01-xxxxxx-xxx,"WPS3x.01-xxxxxWPS3x.01-xxxxx: 31 Dec 2026",,4-30469,6.x,PED,,"30 Apr 2031","Online & Offline","TDES:MK/SK,DUKPT; AES:MK/SK,DUKPT","TDES:MK/SK,DUKPT; AES:MK/SK,DUKPT; FPE:No",Vendor-controlled,"Physical Keypad","Display,ICCR,MSR,CTLS,OP,SRED",,,,,0
"BBPOS Limited","WisePad 3S","WPS30xxx-xx-xxx WPS3xxxx-xx-xxx","WPS30.xxx-xx,WPS3x.xxx-xx",,4-30386,5.x,PED,,"30 Apr 2026","Online & Offline","TDES:MK/SK,DUKPT; AES:Fixed,MK/SK,DUKPT",,Vendor-controlled,"Physical Keypad","Display,ICCR,MSR,CTLS,OP,SRED",,,,,0
"BBPOS Limited","WisePad Q",WPC4x.01-xxxxxx-xxx,"WPC4x.01-xxxxxWPC4x.01-xxxxx: 31 Dec 2026",,4-30472,6.x,PED,,"30 Apr 2031","Online & Offline","TDES:MK/SK,DUKPT; AES:MK/SK,DUKPT","TDES:MK/SK,DUKPT; AES:MK/SK,DUKPT; FPE:No",Vendor-controlled,"Physical Keypad","Display,ICCR,MSR,CTLS,OP,SRED",,,,,0
"BBPOS Limited",WisePad3,WPC3xxxx-xx-xxx,"WPC3x.01-xxxxxWPC3x.01-xxxxx: 31 Dec 2026",,4-30561,6.x,PED,,"30 Apr 2031","Online & Offline","TDES:MK/SK,DUKPT; AES:MK/SK,DUKPT","TDES:MK/SK,DUKPT; AES:MK/SK,DUKPT; FPE:N/A",Vendor-controlled,"Physical Keypad","Display,ICCR,CTLS,OP,SRED",,,Yes,,0
"BBPOS Limited",WisePad3," WPC3xxxx-xx-xxx WPC30xxx-xx-xxx"," WPC3x.xxx-xx,WPC30.xxx-xx,WPC3x.01-xxxxx",,4-30378,5.x,PED,,"30 Apr 2026","Online & Offline","TDES:MK/SK,DUKPT; AES:Fixed,MK/SK,DUKPT",,Vendor-controlled,"Physical Keypad","Display,ICCR,CTLS,OP,SRED",,,Yes,,0
"BBPOS Limited","WisePOS E",WSC5xxxx-xx-xxx,"WSC5x.11-xxxxx-xxxxxWSC5x.11-xxxxx-xxxxx: 31 Dec 2026",,4-90374,6.x,PED,,"30 Apr 2031","Online & Offline","TDES:MK/SK,DUKPT; AES:MK/SK,DUKPT","TDES:MK/SK,DUKPT; AES:MK/SK,DUKPT; FPE:No",Acquirer-controlled,"Touch Screen","Display,ICCR,MSR,CTLS,OP,SRED",,,Yes,,0
"BBPOS Limited","WisePOS E",WSC50xxx-xx-xxx,"WSC50.xxxx-xxx-xxxx,WSC5x.11-xxxxx-xxxxx",,4-90102,5.x,PED,,"30 Apr 2026","Online & Offline","TDES:MK/SK,DUKPT; AES:MK/SK",,Acquirer-controlled,"Touch Screen","Display,ICCR,MSR,CTLS,OP,SRED",,,Yes,,0
"BBPOS Limited","WisePOS E+"," P.01.30.xx.x P.01.40.xx.x WSS50xxx-xx-xxx"," 0E010301.28.xxxx.xxx.xxxx,0E010403.28.xxxx.xxx.xxxx,WSS50.xxxx-xxx-xxxx",,4-90098,5.x,PED,,"30 Apr 2026","Online & Offline","TDES:MK/SK,DUKPT; AES:MK/SK",,Acquirer-controlled,"Touch Screen","Display,ICCR,MSR,CTLS,OP,SRED",,,,,0
"BBPOS Limited","WSP71, WSP72, WSP73, WSP74, WSP75, WSP76"," WSP7x.11-xxxxxx-xxx WSP7x.12-xxxxxx-xxx WSP7xxxx-xx-xxx"," WSP7x.11-xxxxx-xxxxx,WSP7x.12-xxxxx-xxxxx,WSP7x.xxx-xx",,4-30391,5.x,PED,,"30 Apr 2026","Online & Offline","TDES:DUKPT; AES:MK/SK,DUKPT",,Acquirer-controlled,"Touch Screen","Display,ICCR,MSR,CTLS,OP,SRED",,,,,0
"Beijing Shenzhou Anfu Technology Co., Ltd",AF60S,V1.1,V1.0,V1.0,4-90060,5.x,PED,,"30 Apr 2026","Online & Offline","TDES:Fixed,MK/SK,DUKPT; AES:Fixed,MK/SK,DUKPT",,Vendor-controlled,"Physical Keypad","Display,ICCR,MSR,CTLS,OP,SRED",,,,,0
"Beijing Shenzhou Anfu Technology Co., Ltd",AF69,V1.00,"V1.00V1.00: 31 Dec 2025",,4-90284,6.x,PED,,"30 Apr 2031","Online & Offline","TDES:MK/SK,DUKPT; AES:MK/SK,DUKPT","TDES:MK/SK,DUKPT; AES:MK/SK,DUKPT; FPE:No",Acquirer-controlled,"Physical Keypad","Display,ICCR,MSR,CTLS,OP,SRED",,,Yes,,0
"Beijing Shenzhou Anfu Technology Co., Ltd",AF70,1.00,1.00,,4-90050,5.x,PED,,"30 Apr 2026","Online & Offline","TDES:Fixed,MK/SK,DUKPT; AES:Fixed",,Vendor-controlled,"Physical Keypad","Display,ICCR,MSR,CTLS,OP",,,,,0
"Beijing Shenzhou Anfu Technology Co., Ltd",AF75,V1.00,"V1.00V1.00: 31 Dec 2025",,4-90261,6.x,PED,,"30 Apr 2031","Online & Offline","TDES:MK/SK,DUKPT; AES:MK/SK,DUKPT","TDES:MK/SK,DUKPT; AES:MK/SK,DUKPT; FPE:No",Acquirer-controlled,"Physical Keypad","Display,ICCR,MSR,CTLS,OP,SRED",,,Yes,,0
"Beijing Shenzhou Anfu Technology Co., Ltd",AF820,V1.00,"V1.xxV1.xx: 31 Dec 2026",,4-90372,6.x,PED,,"30 Apr 2031","Online & Offline","TDES:MK/SK,DUKPT; AES:MK/SK,DUKPT","TDES:MK/SK,DUKPT; AES:MK/SK,DUKPT; FPE:No",Acquirer-controlled,"Physical Keypad","Display,ICCR,MSR,CTLS,OP,SRED",,,Yes,,0
"Beijing Shenzhou Anfu Technology Co., Ltd",AF930,V1.00,"V1.00V1.00: 31 Dec 2025",,4-90272,6.x,PED,,"30 Apr 2031","Online & Offline","TDES:MK/SK,DUKPT; AES:MK/SK,DUKPT","TDES:MK/SK,DUKPT; AES:MK/SK,DUKPT; FPE:No",Acquirer-controlled,"Touch Screen","Display,ICCR,MSR,CTLS,OP,SRED",,,Yes,,0
"Beijing Wiseasy Technology Co., Ltd.",A025,A025-H0xxMxxxPxxx,"1.01_xxx_xxxxxxxx1.01_xxx_xxxxxxxx: 31 Dec 2026",,4-40424,6.x,SCR,,"30 Apr 2031",N/A,"TDES:N/A; AES:N/A","TDES:DUKPT; AES:N/A; FPE:No",N/A,N/A,"MSR,SRED",,,No,,0
"Beijing Wiseasy Technology Co., Ltd.",P051," P051-H0xxM1xxPxxx P051-H0xxM0xxPxxx"," Secure Firmware: 1.01_xxx_xxxxxxxx,Android Firmware: 01.00_0_xxx_xxxxxxxxxxAndroid Firmware: 01.00_0_xxx_xxxxxxxxxx: 31 Dec 2026,Secure Firmware: 1.01_xxx_xxxxxxxx: 31 Dec 2026",,4-40418,6.x,PED,,"30 Apr 2031","Online & Offline","TDES:MK/SK,DUKPT; AES:MK/SK,DUKPT","TDES:MK/SK,DUKPT; AES:MK/SK,DUKPT; FPE:No",Acquirer-controlled,"Touch Screen","Display,ICCR,MSR,CTLS,OP,SRED",,,Yes,,0
"Beijing Wiseasy Technology Co., Ltd.",P052," P052-H0xxM1xxPxxx P052-H0xxM0xxPxxx"," Android Firmware: 01.00_0_xxx_xxxxxxxxxx,Secure Firmware: 2.01_xxx_xxxxxxxx",,4-40436,4.x,KLD,,"30 Apr 2032",N/A,"TDES:N/A; AES:N/A",,N/A,N/A,"Display,OP",,No,No,,0
"Beijing Wiseasy Technology Co., Ltd.",P052," P052-H0xxM1xxPxxx (without buzzer) P052-H0xxM0xxPxxx (with buzzer)"," Android Firmware: 01.00_0_xxx_xxxxxxxxxx,Secure Firmware: 1.01_xxx_xxxxxxxxSecure Firmware: 1.01_xxx_xxxxxxxx: 31 Dec 2026,Android Firmware: 01.00_0_xxx_xxxxxxxxxx: 31 Dec 2026",,4-40404,6.x,PED,,"30 Apr 2031","Online & Offline","TDES:MK/SK,DUKPT; AES:MK/SK,DUKPT","TDES:MK/SK,DUKPT; AES:MK/SK,DUKPT; FPE:No",Acquirer-controlled,"Touch Screen","Display,ICCR,MSR,CTLS,OP,SRED",,,Yes,,0
"Beijing Wiseasy Technology Co., Ltd.",P5,"   P5_xx_xx P3_xx_xx P4_xx_xx","A01.00_S2.83_xxxxxx,A01.00_S2.84_xxxxxxA01.00_S2.84_xxxxxx: 31 Dec 2025,A01.00_S2.83_xxxxxx: 31 Dec 2024",,4-90207,6.x,PED,,"30 Apr 2031","Online & Offline","TDES:MK/SK,DUKPT; AES:MK/SK","TDES:MK/SK,DUKPT; AES:MK/SK; FPE:No",Acquirer-controlled,"Touch Screen","Display,ICCR,MSR,CTLS,OP,SRED",,,Yes,,0
"Beijing Wiseasy Technology Co., Ltd.",P5L,P3_xx_xx,"A01.00_S2.83_xxxxxxA01.00_S2.83_xxxxxx: 31 Dec 2024",,4-90228,6.x,PED,,"30 Apr 2031","Online & Offline","TDES:MK/SK,DUKPT; AES:MK/SK","TDES:MK/SK,DUKPT; AES:MK/SK; FPE:No",Acquirer-controlled,"Touch Screen","Display,ICCR,MSR,CTLS,OP,SRED",,,Yes,,0
"Beijing Wiseasy Technology Co., Ltd.",R1,P2_01_01,"R1_Af_1.01_xxx_xxxR1_Af_1.01_xxx_xxx: 31 Dec 2024",,4-90220,6.x,SCRP,,"30 Apr 2031","Online & Offline","TDES:MK/SK,DUKPT; AES:MK/SK,DUKPT","TDES:MK/SK,DUKPT; AES:MK/SK,DUKPT; FPE:Yes",N/A,N/A,"ICCR,MSR,CTLS,OP,SRED",,,Yes,,0
"Beijing Wiseasy Technology Co., Ltd.",T2,P2_1xx_xx_xx," SP firmware: 1.01_xxx_xxxxxxxx,AP firmware: 01.00_1_xxx_xxxxxxxxxxAP firmware: 01.00_1_xxx_xxxxxxxxxx: 31 Dec 2025,SP firmware: 1.01_xxx_xxxxxxxx: 31 Dec 2025",,4-40373,6.x,PED,,"30 Apr 2031","Online & Offline","TDES:MK/SK,DUKPT; AES:MK/SK,DUKPT","TDES:MK/SK,DUKPT; AES:MK/SK,DUKPT; FPE:No",Acquirer-controlled,"Touch Screen","Display,ICCR,CTLS,OP,SRED",,,Yes,,0
